Customer ID,Age,Gender,Item Purchased,CategoryPurchase,Amount (INR),Location,Size,Color,SeasonReview,Rating,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
CUST0189,45,Other,Sweater,Clothing,267,Hyderabad,9,White,Spring,Very Good,2.7,No,Free Shipping,Yes,44,PayPal,Weekly
CUST0190,45,Other,Jeans,Accessories,1410,Hyderabad,8,White,Winter,Excellent,2.9,No,Standard,No,49,Debit Card,Fortnightly
CUST0191,22,Other,Coat,Clothing,10249,Bangalore,9,Yellow,Spring,Good,4.8,No,Standard,Yes,6,Debit Card,Weekly
CUST0192,55,Other,Jacket,Outerwear,7285,Kolkata,L,Red,Summer,Excellent,2.7,No,Free Shipping,No,13,Bank Transfer,Annually
CUST0193,50,Male,Shorts,Accessories,5092,Mumbai,XL,Purple,Fall,Excellent,2.7,Yes,Store Pickup,Yes,23,PayPal,Fortnightly
CUST0194,42,Other,Jacket,Outerwear,9201,Bangalore,9,White,Winter,Very Good,2.2,No,Standard,Yes,3,Cash on Delivery,Annually
CUST0195,36,Other,Shorts,Accessories,7189,Pune,M,Brown,Spring,Average,2.3,Yes,Store Pickup,Yes,9,Bank Transfer,Monthly
CUST0196,43,Other,Skirt,Clothing,5331,Pune,XL,Black,Spring,Excellent,4.8,Yes,Next Day Air,Yes,19,UPI,Fortnightly
CUST0197,25,Male,Shorts,Footwear,11743,Mumbai,L,Purple,Summer,Very Good,3.6,No,Standard,No,8,UPI,Monthly
CUST0198,64,Male,Hoodie,Clothing,5738,Pune,XXL,Brown,Winter,Average,4.1,Yes,Next Day Air,No,32,PayPal,Weekly
CUST0199,49,Other,Jeans,Outerwear,2827,Chennai,M,Grey,Winter,Good,4.2,Yes,Free Shipping,Yes,15,Credit Card,Quarterly
CUST0200,41,Female,Jeans,Footwear,14299,Mumbai,10,Pink,Spring,Average,2.7,No,Express,Yes,36,PayPal,Weekly
CUST0201,50,Other,Blouse,Footwear,3906,Jaipur,S,Pink,Winter,Poor,4.6,No,Express,Yes,35,Cash on Delivery,Weekly
CUST0202,41,Male,Sneakers,Outerwear,12367,Lucknow,XL,Purple,Summer,Very Good,4.9,Yes,Store Pickup,Yes,9,Credit Card,Quarterly
CUST0203,19,Male,Dress,Outerwear,10669,Mumbai,7,Black,Fall,Average,2.3,Yes,Next Day Air,No,3,Debit Card,Monthly
CUST0204,23,Male,Sandals,Accessories,11732,Kolkata,9,White,Winter,Very Good,2.4,No,Free Shipping,Yes,27,UPI,Fortnightly
CUST0205,33,Female,Sneakers,Outerwear,13370,Pune,7,Yellow,Fall,Average,2.7,Yes,Standard,Yes,9,Credit Card,Fortnightly
CUST0206,46,Female,Shirt,Accessories,2228,Jaipur,7,Red,Fall,Average,3.4,Yes,Free Shipping,Yes,43,PayPal,Annually
CUST0207,20,Male,Shirt,Footwear,1744,Hyderabad,7,Pink,Winter,Average,2.8,Yes,Free Shipping,No,28,Bank Transfer,Annually
CUST0208,33,Male,T-shirt,Clothing,13421,Bangalore,M,Black,Winter,Good,2.4,No,Express,Yes,37,Bank Transfer,Monthly
CUST0209,70,Male,Blouse,Clothing,3489,Ahmedabad,L,White,Summer,Excellent,2.1,No,Free Shipping,Yes,36,Cash on Delivery,Quarterly
CUST0210,49,Male,Jacket,Accessories,3081,Kolkata,XL,Blue,Summer,Average,3.3,Yes,Free Shipping,Yes,41,PayPal,Quarterly
CUST0211,44,Other,T-shirt,Clothing,1687,Chennai,8,Blue,Fall,Good,3.9,Yes,Store Pickup,Yes,24,UPI,Monthly
CUST0212,48,Other,Hoodie,Accessories,5886,Lucknow,10,Yellow,Fall,Average,2.5,No,Store Pickup,Yes,1,PayPal,Weekly
CUST0213,69,Female,Dress,Outerwear,12813,Lucknow,XL,Blue,Winter,Good,4,No,Store Pickup,Yes,48,Debit Card,Annually
CUST0214,69,Female,Shirt,Footwear,3135,Hyderabad,11,Yellow,Summer,Very Good,2.1,No,Store Pickup,Yes,36,Debit Card,Quarterly
CUST0215,52,Female,Jeans,Accessories,871,Delhi,S,Red,Spring,Excellent,3.6,Yes,Express,Yes,8,PayPal,Fortnightly
CUST0216,69,Female,Blouse,Clothing,2670,Lucknow,L,White,Summer,Excellent,3.1,No,Store Pickup,Yes,21,PayPal,Monthly
CUST0217,26,Male,Shorts,Accessories,13223,Ahmedabad,7,Blue,Summer,Good,4,Yes,Next Day Air,No,46,UPI,Monthly
CUST0218,26,Male,Shorts,Clothing,11751,Lucknow,8,Grey,Winter,Good,3.8,Yes,Store Pickup,Yes,31,Debit Card,Monthly
CUST0219,65,Male,Sandals,Outerwear,5484,Bangalore,M,Yellow,Fall,Excellent,2.8,Yes,Free Shipping,No,16,Credit Card,Weekly
CUST0220,21,Female,T-shirt,Accessories,2975,Pune,9,Pink,Summer,Very Good,3.1,No,Store Pickup,Yes,10,Cash on Delivery,Weekly
CUST0221,69,Male,Sneakers,Clothing,5471,Chennai,M,White,Summer,Good,4.7,Yes,Free Shipping,Yes,21,Bank Transfer,Annually
CUST0222,48,Other,Blouse,Accessories,10959,Bangalore,11,Pink,Spring,Excellent,2.3,Yes,Standard,No,44,Bank Transfer,Annually
CUST0223,34,Other,Sneakers,Outerwear,4141,Delhi,S,Pink,Fall,Good,2.2,Yes,Next Day Air,Yes,18,UPI,Annually
CUST0224,48,Male,Sweater,Clothing,3640,Bangalore,XXL,White,Fall,Excellent,2.9,No,Next Day Air,No,42,PayPal,Weekly
CUST0225,59,Other,Jacket,Footwear,6328,Pune,7,Blue,Fall,Excellent,2.8,No,Express,Yes,17,Bank Transfer,Weekly
CUST0226,27,Other,Skirt,Clothing,1654,Kolkata,10,Pink,Spring,Very Good,2.2,No,Store Pickup,No,34,UPI,Quarterly
CUST0227,54,Male,T-shirt,Outerwear,1543,Pune,S,Brown,Spring,Excellent,4.8,No,Standard,Yes,13,Debit Card,Fortnightly
CUST0228,20,Female,Sweater,Accessories,3558,Bangalore,11,Green,Summer,Excellent,2.3,No,Store Pickup,No,17,Bank Transfer,Quarterly
CUST0229,18,Other,Coat,Accessories,2093,Pune,L,Blue,Winter,Excellent,3.7,Yes,Express,No,26,PayPal,Quarterly
CUST0230,59,Female,Coat,Accessories,863,Bangalore,XXL,Pink,Spring,Very Good,3.8,No,Free Shipping,No,21,UPI,Fortnightly
CUST0231,21,Other,T-shirt,Outerwear,14946,Kolkata,S,Yellow,Summer,Average,2.8,No,Free Shipping,Yes,8,PayPal,Quarterly
CUST0232,67,Female,Sneakers,Accessories,10161,Delhi,XL,Purple,Spring,Poor,4.2,No,Free Shipping,Yes,4,PayPal,Annually
CUST0233,43,Male,Hoodie,Clothing,3096,Hyderabad,XL,Black,Spring,Excellent,3.4,No,Standard,No,23,Cash on Delivery,Annually
CUST0234,43,Other,Sweater,Clothing,4213,Kolkata,9,Grey,Fall,Good,4.9,No,Store Pickup,No,22,Debit Card,Monthly
CUST0235,65,Other,Sweater,Outerwear,699,Pune,S,Blue,Spring,Good,3.9,Yes,Express,No,32,Credit Card,Weekly
CUST0236,48,Male,Skirt,Footwear,10099,Mumbai,XL,Green,Summer,Average,3.3,No,Express,No,16,Debit Card,Quarterly
CUST0237,37,Other,Dress,Accessories,9826,Delhi,S,Brown,Summer,Very Good,3.9,No,Express,Yes,30,Credit Card,Monthly
CUST0238,35,Other,Shirt,Outerwear,4528,Chennai,XL,Blue,Spring,Excellent,4.4,No,Express,Yes,46,Credit Card,Quarterly
CUST0239,36,Female,Jacket,Accessories,6611,Mumbai,11,Grey,Spring,Average,4.2,Yes,Store Pickup,No,42,PayPal,Annually
CUST0240,37,Male,Skirt,Footwear,5063,Delhi,9,Blue,Summer,Very Good,4.3,Yes,Express,Yes,14,PayPal,Fortnightly
CUST0241,65,Female,Jacket,Outerwear,6339,Chennai,11,Green,Fall,Excellent,3.4,Yes,Next Day Air,Yes,32,Credit Card,Quarterly
CUST0242,51,Female,Jacket,Clothing,14517,Bangalore,L,Red,Summer,Poor,5,No,Standard,No,45,Debit Card,Weekly
CUST0243,49,Female,Skirt,Footwear,5384,Mumbai,S,Purple,Summer,Good,4.3,Yes,Store Pickup,Yes,31,Credit Card,Fortnightly
CUST0244,57,Female,Skirt,Accessories,6859,Pune,9,Pink,Winter,Excellent,3.6,No,Free Shipping,No,48,Bank Transfer,Fortnightly
CUST0245,19,Other,Blouse,Footwear,3957,Kolkata,XXL,Blue,Winter,Poor,3.5,No,Standard,Yes,2,PayPal,Monthly
CUST0246,47,Other,Dress,Outerwear,7355,Bangalore,7,Purple,Summer,Good,2.5,No,Free Shipping,Yes,14,UPI,Fortnightly
CUST0247,31,Other,Blouse,Footwear,2267,Kolkata,S,Pink,Summer,Very Good,3.9,Yes,Free Shipping,Yes,3,UPI,Weekly
CUST0248,44,Female,Jacket,Clothing,9216,Chennai,9,Blue,Spring,Excellent,2.9,Yes,Store Pickup,No,39,Bank Transfer,Fortnightly
CUST0249,44,Male,Dress,Clothing,4881,Delhi,M,Purple,Spring,Very Good,2.6,No,Store Pickup,Yes,22,UPI,Quarterly
CUST0250,36,Male,Blouse,Accessories,3652,Ahmedabad,7,Red,Winter,Excellent,4,Yes,Store Pickup,No,9,Credit Card,Annually
CUST0251,22,Other,Shorts,Clothing,4442,Hyderabad,9,Green,Summer,Poor,2.2,Yes,Free Shipping,No,23,UPI,Monthly
CUST0252,45,Other,Sweater,Clothing,14196,Mumbai,S,Blue,Spring,Average,3.1,No,Store Pickup,No,46,Credit Card,Monthly
CUST0253,70,Female,Jeans,Clothing,6816,Pune,9,Green,Fall,Poor,4.4,Yes,Free Shipping,Yes,44,UPI,Weekly
CUST0254,28,Male,Jacket,Accessories,13394,Lucknow,9,Blue,Fall,Average,3.8,Yes,Next Day Air,No,7,Cash on Delivery,Quarterly
CUST0255,20,Male,Sneakers,Outerwear,452,Jaipur,11,Grey,Spring,Average,3.6,Yes,Next Day Air,Yes,30,PayPal,Quarterly
CUST0256,27,Other,Coat,Clothing,440,Bangalore,10,Purple,Fall,Good,2.2,No,Express,Yes,21,PayPal,Weekly
CUST0257,50,Male,Dress,Accessories,6857,Hyderabad,M,Purple,Fall,Very Good,3.3,No,Next Day Air,No,7,Cash on Delivery,Weekly
CUST0258,24,Female,Jacket,Clothing,9378,Jaipur,S,White,Summer,Very Good,3.7,No,Express,No,3,Debit Card,Quarterly
CUST0259,39,Other,Hoodie,Accessories,11991,Kolkata,9,White,Winter,Good,2,No,Express,No,44,Credit Card,Weekly
CUST0260,28,Female,Jeans,Accessories,2002,Chennai,11,Red,Spring,Excellent,4.8,No,Standard,No,50,Debit Card,Monthly
CUST0261,24,Female,Blouse,Clothing,12900,Ahmedabad,9,Grey,Spring,Poor,2,Yes,Store Pickup,No,37,Cash on Delivery,Annually
CUST0262,67,Male,Shorts,Footwear,12218,Bangalore,M,Pink,Summer,Very Good,4.6,No,Store Pickup,Yes,17,Cash on Delivery,Monthly
CUST0263,36,Female,Hoodie,Footwear,2513,Pune,11,Brown,Summer,Very Good,4.6,Yes,Standard,Yes,39,UPI,Monthly
CUST0264,61,Female,Skirt,Footwear,11889,Bangalore,10,Brown,Summer,Excellent,4.3,No,Store Pickup,No,43,UPI,Annually
CUST0265,36,Female,Hoodie,Clothing,8814,Delhi,S,Pink,Spring,Excellent,4,Yes,Express,Yes,18,UPI,Monthly
CUST0266,27,Male,Shorts,Outerwear,3592,Jaipur,S,Yellow,Fall,Excellent,3.8,Yes,Store Pickup,No,15,Bank Transfer,Monthly
CUST0267,62,Other,Blouse,Accessories,6599,Pune,7,Brown,Winter,Excellent,4.2,Yes,Store Pickup,No,14,UPI,Monthly
CUST0268,66,Other,Dress,Footwear,12966,Hyderabad,XXL,Purple,Spring,Excellent,2.6,Yes,Store Pickup,Yes,24,Credit Card,Quarterly
CUST0269,35,Other,Sneakers,Footwear,2886,Lucknow,XXL,Black,Summer,Poor,4.1,Yes,Free Shipping,Yes,20,Bank Transfer,Weekly
CUST0270,67,Other,Coat,Outerwear,8287,Lucknow,10,Yellow,Winter,Average,3.6,Yes,Store Pickup,Yes,50,Bank Transfer,Fortnightly
CUST0271,44,Other,Dress,Accessories,1756,Kolkata,XL,Red,Summer,Average,3.1,Yes,Store Pickup,No,35,UPI,Weekly
CUST0272,25,Other,Shirt,Accessories,4187,Lucknow,11,Red,Winter,Average,3.1,Yes,Next Day Air,No,34,UPI,Monthly
CUST0273,19,Other,Hoodie,Outerwear,8676,Jaipur,9,Purple,Winter,Average,4.7,Yes,Express,Yes,6,Debit Card,Annually
CUST0274,52,Male,Skirt,Clothing,3703,Hyderabad,8,White,Spring,Very Good,4.5,No,Free Shipping,Yes,1,Cash on Delivery,Monthly
CUST0275,20,Male,Sweater,Clothing,3166,Chennai,10,White,Spring,Average,3.2,No,Next Day Air,No,20,Credit Card,Quarterly
CUST0276,61,Male,Dress,Clothing,10759,Lucknow,M,Grey,Winter,Excellent,3.1,Yes,Express,No,38,Credit Card,Monthly
CUST0277,66,Female,Jacket,Accessories,13719,Mumbai,9,Blue,Spring,Good,4.2,No,Standard,No,43,UPI,Monthly
CUST0278,18,Other,Dress,Footwear,2269,Mumbai,S,Grey,Fall,Very Good,3.6,Yes,Express,Yes,47,UPI,Monthly
CUST0279,31,Female,Skirt,Footwear,2887,Bangalore,XL,Grey,Summer,Good,2.3,Yes,Store Pickup,No,41,Bank Transfer,Weekly
CUST0280,36,Other,Sweater,Outerwear,1858,Hyderabad,11,Purple,Summer,Average,2.4,Yes,Free Shipping,No,39,Credit Card,Fortnightly
CUST0281,38,Female,T-shirt,Outerwear,10348,Chennai,11,Blue,Summer,Average,4.9,Yes,Free Shipping,No,15,Debit Card,Quarterly
CUST0282,35,Female,Jeans,Outerwear,14633,Ahmedabad,9,Purple,Summer,Average,3.5,Yes,Standard,Yes,17,Debit Card,Annually
CUST0283,30,Female,Shorts,Clothing,12168,Delhi,S,Brown,Winter,Very Good,3.7,Yes,Free Shipping,No,34,Bank Transfer,Quarterly
CUST0284,59,Male,Shirt,Accessories,3908,Lucknow,XXL,Blue,Fall,Very Good,3.5,No,Express,Yes,42,Debit Card,Annually
CUST0285,61,Male,Hoodie,Footwear,7560,Bangalore,L,Grey,Spring,Poor,4.8,Yes,Standard,No,14,Credit Card,Monthly
CUST0286,41,Male,Blouse,Footwear,8735,Kolkata,8,Purple,Fall,Excellent,2.1,No,Free Shipping,No,47,PayPal,Annually
CUST0287,52,Other,Jeans,Accessories,10959,Pune,7,Grey,Winter,Very Good,2.8,Yes,Store Pickup,No,22,PayPal,Quarterly
CUST0288,68,Female,Coat,Clothing,8472,Bangalore,9,Blue,Spring,Excellent,3.5,No,Standard,Yes,11,Debit Card,Monthly
CUST0289,56,Other,Sweater,Footwear,7043,Kolkata,M,Purple,Fall,Poor,2.6,Yes,Next Day Air,Yes,15,Credit Card,Fortnightly
CUST0290,54,Other,Jeans,Footwear,10564,Jaipur,S,Grey,Spring,Excellent,2.5,Yes,Store Pickup,No,38,Bank Transfer,Weekly
CUST0291,64,Other,Skirt,Outerwear,1654,Hyderabad,9,Grey,Fall,Poor,2.5,No,Store Pickup,Yes,50,Bank Transfer,Fortnightly
CUST0292,57,Other,Dress,Outerwear,2997,Kolkata,9,Grey,Winter,Good,3.1,Yes,Free Shipping,Yes,12,Bank Transfer,Annually
CUST0293,61,Female,Jeans,Clothing,3156,Ahmedabad,11,Grey,Winter,Very Good,3.5,Yes,Free Shipping,No,42,Debit Card,Annually
CUST0294,52,Male,Hoodie,Accessories,8803,Pune,7,Black,Fall,Good,4.8,No,Next Day Air,No,37,UPI,Annually
CUST0295,24,Female,Jeans,Outerwear,8067,Hyderabad,M,Green,Fall,Average,2.6,Yes,Store Pickup,Yes,33,Credit Card,Quarterly
CUST0296,59,Male,Shorts,Outerwear,6948,Kolkata,M,Blue,Fall,Very Good,2.8,No,Store Pickup,No,39,PayPal,Quarterly
CUST0297,66,Male,Jacket,Accessories,3178,Kolkata,10,Brown,Fall,Average,5,No,Next Day Air,Yes,42,Credit Card,Fortnightly
CUST0298,46,Other,Jeans,Clothing,3763,Jaipur,8,Yellow,Winter,Good,3.2,Yes,Free Shipping,Yes,30,Bank Transfer,Quarterly
CUST0299,23,Male,Sneakers,Footwear,6325,Delhi,11,Black,Fall,Poor,3.8,No,Store Pickup,Yes,49,Debit Card,Quarterly
CUST0300,46,Male,Sandals,Outerwear,3440,Mumbai,11,Brown,Spring,Very Good,2.5,Yes,Express,Yes,41,Credit Card,Fortnightly
CUST0301,23,Female,Hoodie,Accessories,6035,Pune,8,Grey,Spring,Very Good,2,Yes,Free Shipping,No,46,Bank Transfer,Annually
CUST0302,40,Female,Sneakers,Footwear,10184,Hyderabad,9,Pink,Winter,Average,2.5,Yes,Store Pickup,Yes,32,PayPal,Monthly
CUST0303,25,Other,Sneakers,Outerwear,11623,Ahmedabad,8,Grey,Fall,Good,4.3,No,Next Day Air,Yes,30,Credit Card,Monthly
CUST0304,22,Female,Skirt,Footwear,11340,Hyderabad,7,Pink,Summer,Very Good,3.6,No,Standard,No,5,Cash on Delivery,Monthly
CUST0305,22,Other,Jeans,Accessories,5392,Kolkata,XL,Grey,Summer,Good,4.8,Yes,Next Day Air,Yes,15,UPI,Fortnightly
CUST0306,34,Male,Sandals,Footwear,13929,Hyderabad,11,Yellow,Spring,Excellent,2.4,Yes,Next Day Air,Yes,48,Bank Transfer,Weekly
CUST0307,48,Female,Coat,Outerwear,8316,Lucknow,XXL,Purple,Spring,Very Good,2.8,Yes,Store Pickup,Yes,3,Bank Transfer,Quarterly
CUST0308,48,Other,Blouse,Outerwear,6700,Bangalore,9,White,Fall,Average,4.1,Yes,Standard,No,37,Credit Card,Monthly
CUST0309,41,Other,Sneakers,Footwear,9237,Chennai,XL,Green,Fall,Very Good,3,Yes,Next Day Air,No,13,Cash on Delivery,Monthly
CUST0310,41,Female,Sneakers,Accessories,3197,Lucknow,L,Grey,Spring,Excellent,4.2,Yes,Store Pickup,No,24,Debit Card,Fortnightly
CUST0311,69,Other,Jeans,Accessories,13450,Mumbai,L,Pink,Fall,Good,5,No,Next Day Air,No,16,Bank Transfer,Annually
CUST0312,21,Female,Sweater,Footwear,1233,Hyderabad,XXL,Purple,Winter,Poor,4.2,No,Express,No,35,Bank Transfer,Monthly
CUST0313,40,Male,Jacket,Clothing,6002,Lucknow,XL,Grey,Spring,Average,3.1,No,Next Day Air,Yes,24,Bank Transfer,Monthly
CUST0314,47,Other,Jeans,Footwear,10745,Kolkata,8,Grey,Fall,Excellent,2.2,No,Standard,No,20,UPI,Monthly
CUST0315,63,Female,Coat,Accessories,4694,Ahmedabad,7,Grey,Fall,Poor,2.5,Yes,Standard,Yes,42,PayPal,Weekly
CUST0316,31,Male,Jacket,Clothing,1815,Delhi,9,Brown,Winter,Excellent,4.3,Yes,Free Shipping,No,39,Debit Card,Weekly
CUST0317,59,Female,Sneakers,Footwear,4303,Chennai,9,Blue,Spring,Very Good,4.5,Yes,Free Shipping,No,20,Cash on Delivery,Quarterly
CUST0318,52,Female,Dress,Accessories,2463,Jaipur,L,Grey,Fall,Very Good,3.3,No,Express,No,34,Debit Card,Weekly
CUST0319,46,Female,Shirt,Accessories,4506,Bangalore,XXL,Black,Winter,Very Good,4.4,Yes,Express,No,30,Bank Transfer,Weekly
CUST0320,62,Female,Hoodie,Accessories,5158,Mumbai,8,Green,Spring,Excellent,3.6,Yes,Next Day Air,No,25,Debit Card,Fortnightly
CUST0321,63,Other,Skirt,Accessories,13822,Pune,XL,Green,Winter,Poor,3.9,No,Express,No,26,Debit Card,Weekly
CUST0322,29,Male,Sneakers,Clothing,10684,Ahmedabad,11,Purple,Summer,Very Good,3.5,No,Free Shipping,Yes,3,Bank Transfer,Weekly
CUST0323,29,Male,Sneakers,Outerwear,2298,Ahmedabad,S,Red,Winter,Good,2,Yes,Express,No,19,Cash on Delivery,Monthly
CUST0324,47,Other,Hoodie,Clothing,5660,Delhi,L,Black,Summer,Poor,2.2,No,Standard,Yes,16,Cash on Delivery,Weekly
CUST0325,25,Other,Sandals,Accessories,12885,Ahmedabad,XL,Black,Spring,Poor,4.2,Yes,Store Pickup,Yes,30,Cash on Delivery,Monthly
CUST0326,38,Male,Skirt,Clothing,12451,Jaipur,10,White,Summer,Poor,3.9,Yes,Express,Yes,42,Debit Card,Weekly
CUST0327,33,Other,Jacket,Outerwear,496,Bangalore,XXL,Grey,Winter,Poor,4.4,Yes,Free Shipping,No,44,Bank Transfer,Fortnightly
CUST0328,41,Male,Sandals,Footwear,8440,Delhi,11,Yellow,Winter,Excellent,3.1,Yes,Store Pickup,Yes,8,Cash on Delivery,Fortnightly
CUST0329,38,Other,Hoodie,Outerwear,13447,Ahmedabad,XL,Black,Fall,Average,4.2,No,Free Shipping,No,45,Cash on Delivery,Annually
CUST0330,36,Other,Shorts,Accessories,3359,Lucknow,L,Brown,Summer,Average,4.2,No,Store Pickup,Yes,4,Bank Transfer,Fortnightly
CUST0331,46,Female,Sneakers,Outerwear,7689,Mumbai,10,Pink,Spring,Excellent,3.9,No,Store Pickup,Yes,20,UPI,Weekly
CUST0332,60,Other,Jacket,Footwear,8836,Ahmedabad,10,Blue,Summer,Average,3.2,No,Free Shipping,Yes,33,UPI,Weekly
CUST0333,20,Male,Jeans,Clothing,3560,Delhi,9,Red,Winter,Excellent,3.7,No,Next Day Air,No,3,PayPal,Fortnightly
CUST0334,56,Other,Sweater,Clothing,3669,Ahmedabad,M,Purple,Winter,Average,3.7,No,Express,Yes,39,PayPal,Annually
CUST0335,20,Other,Sweater,Outerwear,1526,Hyderabad,10,White,Winter,Good,3.6,Yes,Standard,Yes,36,UPI,Fortnightly
CUST0336,53,Other,Dress,Accessories,12474,Delhi,11,Yellow,Fall,Poor,4.6,Yes,Standard,No,32,PayPal,Fortnightly
CUST0337,52,Other,T-shirt,Outerwear,5413,Jaipur,7,Yellow,Fall,Poor,4.5,No,Store Pickup,Yes,36,Bank Transfer,Fortnightly
CUST0338,42,Other,Shorts,Outerwear,6148,Ahmedabad,9,Pink,Winter,Excellent,4.9,Yes,Store Pickup,Yes,19,Credit Card,Monthly
CUST0339,32,Male,Shirt,Clothing,12890,Chennai,10,Brown,Spring,Excellent,2.1,No,Standard,Yes,16,PayPal,Annually
CUST0340,33,Male,Sneakers,Outerwear,1755,Lucknow,8,Grey,Spring,Excellent,4.2,No,Standard,No,44,UPI,Annually
CUST0341,70,Male,Coat,Outerwear,862,Lucknow,8,White,Winter,Average,3,No,Next Day Air,Yes,49,Debit Card,Annually
CUST0342,18,Other,Hoodie,Accessories,1136,Chennai,10,Black,Summer,Very Good,3.7,No,Store Pickup,Yes,9,Credit Card,Quarterly
CUST0343,46,Other,Coat,Clothing,3888,Pune,XXL,Pink,Spring,Good,3,No,Store Pickup,Yes,35,Cash on Delivery,Monthly
CUST0344,23,Female,Dress,Accessories,12928,Bangalore,L,Purple,Spring,Poor,3.2,Yes,Store Pickup,Yes,15,Credit Card,Monthly
CUST0345,67,Female,Shirt,Clothing,2093,Pune,8,Yellow,Summer,Good,3,Yes,Express,Yes,22,Bank Transfer,Quarterly
CUST0346,57,Male,T-shirt,Clothing,13654,Hyderabad,XL,Yellow,Spring,Excellent,2.3,Yes,Standard,Yes,18,Credit Card,Monthly
CUST0347,62,Male,Sneakers,Accessories,7969,Mumbai,7,Red,Spring,Good,3.6,No,Store Pickup,No,39,UPI,Fortnightly
CUST0348,62,Other,Skirt,Clothing,6420,Lucknow,10,Black,Summer,Good,2.2,Yes,Store Pickup,No,3,Cash on Delivery,Weekly
CUST0349,22,Female,Skirt,Outerwear,11112,Kolkata,M,Black,Summer,Poor,2.7,No,Store Pickup,Yes,20,Cash on Delivery,Annually
CUST0350,52,Male,Jeans,Footwear,8452,Ahmedabad,10,Black,Winter,Good,4.8,No,Express,No,25,UPI,Fortnightly
CUST0351,19,Female,Skirt,Outerwear,6072,Chennai,XL,Brown,Summer,Excellent,3.9,No,Free Shipping,No,14,Debit Card,Monthly
CUST0352,43,Other,Jeans,Clothing,12208,Pune,10,Grey,Spring,Poor,2.7,Yes,Next Day Air,No,38,PayPal,Quarterly
CUST0353,52,Male,Sandals,Footwear,9769,Jaipur,XL,Blue,Summer,Very Good,4.7,No,Standard,Yes,20,Credit Card,Annually
CUST0354,52,Other,Sweater,Footwear,5453,Bangalore,S,Yellow,Fall,Poor,2.9,No,Standard,Yes,6,Debit Card,Fortnightly
CUST0355,19,Other,Coat,Outerwear,10172,Lucknow,11,Red,Spring,Good,4.1,No,Free Shipping,No,8,Bank Transfer,Annually
CUST0356,48,Other,Skirt,Outerwear,3264,Pune,9,Purple,Spring,Good,2.6,Yes,Next Day Air,Yes,17,Cash on Delivery,Fortnightly
CUST0357,65,Other,Sandals,Footwear,1333,Bangalore,9,Grey,Fall,Average,4.6,Yes,Next Day Air,No,49,Credit Card,Annually
CUST0358,65,Female,Shorts,Outerwear,6707,Lucknow,11,Grey,Winter,Very Good,2.3,No,Free Shipping,Yes,33,Bank Transfer,Quarterly
CUST0359,65,Male,Dress,Accessories,8706,Mumbai,XL,Green,Fall,Poor,4.7,No,Next Day Air,Yes,27,PayPal,Annually
CUST0360,21,Other,Dress,Footwear,7845,Ahmedabad,M,Brown,Winter,Good,4.3,Yes,Next Day Air,No,20,Cash on Delivery,Weekly
CUST0361,29,Female,Coat,Footwear,14709,Ahmedabad,M,Green,Summer,Good,4.2,Yes,Free Shipping,Yes,45,Cash on Delivery,Monthly
CUST0362,23,Other,Shorts,Accessories,12159,Jaipur,11,Blue,Fall,Very Good,3.1,Yes,Express,Yes,10,Debit Card,Fortnightly
CUST0363,67,Other,Blouse,Accessories,5297,Chennai,9,Green,Spring,Excellent,4.7,Yes,Free Shipping,No,0,Cash on Delivery,Quarterly
CUST0364,49,Other,Hoodie,Clothing,10211,Ahmedabad,XL,Red,Fall,Poor,3.2,Yes,Store Pickup,Yes,15,Bank Transfer,Monthly
CUST0365,57,Other,Dress,Footwear,1051,Bangalore,L,Black,Summer,Excellent,2.4,Yes,Store Pickup,No,21,Credit Card,Weekly
CUST0366,24,Female,Jeans,Footwear,11261,Chennai,11,Grey,Spring,Poor,4.2,No,Free Shipping,Yes,49,PayPal,Monthly
CUST0367,41,Female,Sweater,Accessories,14066,Jaipur,M,Green,Fall,Good,2.4,No,Express,No,33,Debit Card,Fortnightly
CUST0368,57,Male,Sweater,Clothing,8174,Lucknow,XXL,Pink,Summer,Average,3.6,No,Standard,No,33,UPI,Quarterly
CUST0369,49,Male,Coat,Footwear,11859,Chennai,XL,Black,Winter,Excellent,3.4,Yes,Standard,No,26,Credit Card,Monthly
CUST0370,40,Other,Hoodie,Footwear,435,Hyderabad,XXL,Green,Winter,Average,2.9,No,Free Shipping,Yes,43,PayPal,Monthly
CUST0371,43,Other,Coat,Clothing,13882,Bangalore,XL,Yellow,Summer,Poor,4.7,Yes,Standard,No,9,UPI,Quarterly
CUST0372,52,Female,T-shirt,Accessories,12416,Mumbai,10,Green,Summer,Very Good,3.6,Yes,Store Pickup,No,50,PayPal,Weekly
CUST0373,27,Female,Blouse,Outerwear,6397,Jaipur,L,Grey,Fall,Good,3.8,No,Express,Yes,17,Cash on Delivery,Weekly
CUST0374,49,Male,Shirt,Accessories,13839,Chennai,XL,Brown,Summer,Good,2.3,Yes,Standard,Yes,28,Bank Transfer,Weekly
CUST0375,69,Female,Dress,Footwear,3366,Kolkata,9,Brown,Summer,Average,2.4,Yes,Store Pickup,Yes,13,UPI,Weekly
CUST0376,47,Female,Shorts,Clothing,317,Chennai,S,Grey,Winter,Average,3.4,Yes,Free Shipping,No,1,Bank Transfer,Monthly
